selling_price,km_driven,fuel,seller_type,transmission,owner
850000,119000,Petrol,Dealer,Automatic,First Owner
229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
1550000,75800,Diesel,Dealer,Automatic,Second Owner
1250000,78000,Diesel,Dealer,Automatic,Third Owner
625000,40000,Diesel,Individual,Manual,First Owner
1050000,50000,Diesel,Individual,Manual,First Owner
560000,74000,Diesel,Individual,Manual,Second Owner
290000,64000,Petrol,Individual,Manual,Second Owner
275000,60000,Petrol,Individual,Manual,Second Owner
411000,120000,Diesel,Individual,Manual,Second Owner
150000,79000,Petrol,Individual,Manual,Third Owner
500000,15000,Petrol,Individual,Manual,First Owner
100000,80000,Petrol,Individual,Manual,First Owner
725000,18500,Diesel,Dealer,Manual,First Owner
401000,10200,Petrol,Dealer,Manual,First Owner
750000,29000,Diesel,Dealer,Manual,First Owner
310000,28000,Petrol,Dealer,Manual,First Owner
665000,46000,Diesel,Dealer,Manual,First Owner
465000,70000,Diesel,Dealer,Manual,First Owner
160000,60000,Petrol,Individual,Manual,Second Owner
250000,35000,Diesel,Individual,Manual,Second Owner
675000,90000,Diesel,Dealer,Manual,First Owner
300000,80000,Petrol,Dealer,Manual,First Owner
70000,80000,Diesel,Individual,Manual,First Owner
240000,73300,Petrol,Dealer,Manual,Second Owner
525000,92000,Diesel,Dealer,Manual,First Owner
151000,66764,Petrol,Dealer,Manual,Second Owner
140000,100000,Petrol,Individual,Manual,First Owner
280000,350000,Diesel,Individual,Manual,Second Owner
350000,230000,Diesel,Individual,Manual,First Owner
570000,60000,Diesel,Individual,Manual,First Owner
300000,31000,Petrol,Individual,Manual,First Owner
100000,39000,Diesel,Individual,Manual,First Owner
500000,120000,Diesel,Individual,Manual,Third Owner
125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
130000,110000,Petrol,Individual,Manual,Third Owner
925000,35000,Diesel,Individual,Manual,First Owner
750000,60000,Diesel,Individual,Manual,First Owner
200000,54000,Petrol,Individual,Automatic,Second Owner
248000,63000,Petrol,Individual,Manual,Second Owner
450000,120000,Diesel,Individual,Manual,Second Owner
80000,120000,Petrol,Individual,Manual,Third Owner
650000,76000,Petrol,Individual,Manual,Second Owner
450000,80000,Diesel,Individual,Manual,First Owner
650000,25000,Diesel,Individual,Manual,First Owner
495000,11958,Petrol,Dealer,Manual,First Owner
371000,20000,Petrol,Dealer,Manual,First Owner
1025000,9000,Petrol,Dealer,Manual,First Owner
8150000,6500,Diesel,Dealer,Automatic,First Owner
750000,70000,Diesel,Individual,Manual,First Owner
600000,120000,Diesel,Individual,Manual,First Owner
80000,58000,Petrol,Dealer,Manual,Second Owner
325000,62200,Diesel,Dealer,Manual,First Owner
1470000,34000,Diesel,Dealer,Automatic,Second Owner
350000,53000,Diesel,Individual,Manual,Second Owner
2800000,49000,Diesel,Dealer,Automatic,First Owner
210000,15000,Petrol,Dealer,Manual,Second Owner
450000,50000,Petrol,Individual,Manual,First Owner
1150000,53000,Diesel,Dealer,Automatic,First Owner
210000,63500,Petrol,Dealer,Automatic,First Owner
4500000,9800,Petrol,Dealer,Automatic,First Owner
2750000,13000,Diesel,Individual,Automatic,First Owner
1975000,21000,Diesel,Dealer,Automatic,First Owner
175000,29173,Petrol,Dealer,Manual,First Owner
2500000,48000,Diesel,Dealer,Automatic,First Owner
628000,120000,Diesel,Individual,Manual,First Owner
600000,100000,Diesel,Individual,Manual,First Owner
399000,30000,Petrol,Individual,Manual,First Owner
750000,87000,Diesel,Individual,Manual,First Owner
750000,15000,Petrol,Individual,Manual,First Owner
315000,16000,Petrol,Individual,Manual,First Owner
600000,60000,Diesel,Individual,Manual,First Owner
100000,60000,Petrol,Individual,Manual,Fourth & Above Owner
250000,110000,Petrol,Individual,Manual,Third Owner
350000,25000,Petrol,Individual,Manual,First Owner
780000,60000,Diesel,Individual,Manual,First Owner
434000,79350,Diesel,Individual,Manual,Second Owner
690000,80000,Petrol,Individual,Automatic,First Owner
555000,90000,Diesel,Individual,Manual,Second Owner
120000,90000,Petrol,Individual,Manual,Second Owner
500000,120000,Diesel,Individual,Manual,Second Owner
165000,60000,Diesel,Individual,Manual,Second Owner
95000,50000,Petrol,Individual,Manual,First Owner
550000,20000,Petrol,Individual,Manual,First Owner
100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
100000,50000,Petrol,Individual,Manual,Second Owner
500000,100000,Diesel,Individual,Manual,First Owner
800000,70000,Diesel,Individual,Manual,Second Owner
840000,70000,Diesel,Individual,Manual,Second Owner
490000,50000,Petrol,Individual,Manual,First Owner
125000,81000,Diesel,Individual,Manual,Second Owner
400000,120000,Diesel,Individual,Manual,Third Owner
1000000,3600,Diesel,Dealer,Manual,First Owner
530000,14272,Petrol,Dealer,Manual,First Owner
840000,49213,Diesel,Dealer,Manual,First Owner
229999,40000,Petrol,Individual,Manual,First Owner
40000,40000,Petrol,Individual,Manual,Fourth & Above Owner
130000,80000,Petrol,Individual,Manual,First Owner
200000,70000,Petrol,Individual,Manual,First Owner
120000,70000,Diesel,Individual,Manual,First Owner
75000,57000,Petrol,Individual,Manual,First Owner
250000,120000,Diesel,Individual,Manual,First Owner
100000,30000,Petrol,Individual,Manual,First Owner
280000,3240,Petrol,Individual,Manual,Second Owner
540000,5000,Petrol,Individual,Manual,First Owner
700000,10000,Petrol,Individual,Manual,First Owner
525000,100000,Diesel,Individual,Manual,First Owner
430000,80000,Diesel,Individual,Manual,First Owner
65000,70000,Petrol,Individual,Manual,First Owner
800000,35000,Diesel,Individual,Manual,First Owner
75000,114000,Petrol,Individual,Manual,Second Owner
210000,53772,Petrol,Individual,Manual,First Owner
195000,140000,Diesel,Individual,Manual,Second Owner
400000,120000,Diesel,Individual,Manual,First Owner
170000,60000,Petrol,Individual,Manual,First Owner
225000,25000,Petrol,Individual,Manual,First Owner
210000,90000,LPG,Individual,Manual,First Owner
240000,120000,Petrol,Individual,Manual,First Owner
300000,175000,Diesel,Individual,Manual,First Owner
99000,100000,Petrol,Individual,Manual,Third Owner
620000,36000,Petrol,Individual,Manual,First Owner
500000,30000,Diesel,Individual,Manual,First Owner
2550000,40000,Petrol,Individual,Automatic,Second Owner
260000,70000,Petrol,Individual,Manual,Second Owner
550000,60000,Petrol,Individual,Manual,First Owner
150000,155500,Diesel,Individual,Manual,First Owner
350000,50000,Petrol,Individual,Automatic,Second Owner
320000,40000,Petrol,Individual,Manual,First Owner
400000,100000,Diesel,Individual,Manual,Third Owner
175000,80000,Petrol,Individual,Manual,Third Owner
120000,90000,Petrol,Individual,Manual,Second Owner
320000,90000,Diesel,Individual,Manual,Second Owner
70000,110000,Petrol,Individual,Manual,Third Owner
810000,15000,Petrol,Individual,Manual,First Owner
95000,100000,Petrol,Individual,Manual,Second Owner
282000,40000,CNG,Individual,Manual,First Owner
80000,60000,Petrol,Individual,Manual,Second Owner
72000,25000,Petrol,Individual,Manual,First Owner
600000,25000,Petrol,Individual,Manual,First Owner
640000,23000,Petrol,Individual,Manual,First Owner
380000,22155,Petrol,Individual,Manual,First Owner
650000,70000,Petrol,Individual,Manual,First Owner
150000,60000,Petrol,Individual,Manual,Second Owner
280000,110000,Petrol,Individual,Manual,Second Owner
430000,30000,Petrol,Individual,Manual,First Owner
800000,15000,Diesel,Individual,Manual,First Owner
75000,100000,Diesel,Individual,Manual,Second Owner
650000,70000,Diesel,Individual,Automatic,First Owner
390000,24000,Petrol,Individual,Manual,First Owner
100000,120000,Petrol,Individual,Manual,Second Owner
1500000,35000,Diesel,Individual,Automatic,First Owner
175000,78380,Petrol,Individual,Manual,First Owner
434999,110000,Diesel,Individual,Manual,Second Owner
170000,90000,Diesel,Individual,Manual,Third Owner
190000,90000,Diesel,Individual,Manual,Third Owner
250000,150000,Diesel,Individual,Manual,Third Owner
229999,230000,Diesel,Individual,Manual,Third Owner
140000,70000,Petrol,Individual,Manual,Third Owner
600000,80362,Diesel,Individual,Manual,First Owner
280000,110000,Petrol,Individual,Manual,Third Owner
150000,60000,Diesel,Individual,Manual,First Owner
650000,50000,Diesel,Individual,Automatic,First Owner
210000,40000,Petrol,Individual,Manual,Second Owner
2900000,40000,Diesel,Individual,Automatic,First Owner
425000,20000,Diesel,Dealer,Manual,First Owner
265000,55000,Petrol,Dealer,Manual,First Owner
890000,1136,Petrol,Dealer,Manual,First Owner
365000,55000,Petrol,Dealer,Manual,First Owner
350000,43000,Petrol,Dealer,Manual,First Owner
685000,60000,Diesel,Individual,Manual,First Owner
940000,2650,Diesel,Dealer,Manual,First Owner
1000000,40000,Diesel,Individual,Manual,First Owner
1150000,15000,Petrol,Dealer,Manual,First Owner
450000,115962,Diesel,Individual,Manual,Second Owner
590000,65000,Diesel,Dealer,Manual,First Owner
800000,40000,Diesel,Individual,Manual,First Owner
385000,58000,Diesel,Dealer,Manual,First Owner
2000000,15000,Diesel,Individual,Automatic,First Owner
235000,54000,Petrol,Dealer,Manual,First Owner
640000,56000,Diesel,Dealer,Manual,First Owner
52000,120000,Petrol,Individual,Manual,Third Owner
80000,90000,LPG,Individual,Manual,Second Owner
140000,70000,Petrol,Individual,Manual,Second Owner
120000,90000,Petrol,Individual,Manual,Second Owner
89999,213000,Diesel,Individual,Manual,First Owner
180000,120000,Diesel,Individual,Manual,First Owner
1500000,20000,Diesel,Individual,Manual,First Owner
700000,10000,Petrol,Individual,Manual,First Owner
285000,80000,Diesel,Individual,Manual,Second Owner
390000,90000,Petrol,Individual,Manual,First Owner
125000,80000,Petrol,Individual,Manual,First Owner
225000,60000,Petrol,Individual,Manual,Second Owner
175000,139000,Petrol,Individual,Manual,Second Owner
1075000,160000,Diesel,Individual,Manual,Second Owner
300000,150000,Diesel,Individual,Manual,First Owner
700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
90000,120000,Diesel,Dealer,Manual,First Owner
120000,120000,Diesel,Individual,Manual,Second Owner
220000,100000,Diesel,Individual,Manual,Second Owner
300000,140000,Diesel,Dealer,Manual,First Owner
180000,87000,Diesel,Dealer,Manual,Second Owner
170000,70000,Petrol,Individual,Manual,First Owner
300000,50000,Petrol,Individual,Manual,Second Owner
1050000,70000,Diesel,Individual,Manual,First Owner
300000,150000,Diesel,Individual,Manual,First Owner
465000,25000,Diesel,Individual,Manual,First Owner
130000,80000,Diesel,Individual,Manual,Second Owner
434999,10000,Petrol,Individual,Manual,First Owner
500000,32000,Petrol,Individual,Manual,First Owner
200000,10000,Petrol,Individual,Manual,First Owner
625000,52000,Petrol,Dealer,Manual,First Owner
110000,120000,Diesel,Individual,Manual,Third Owner
800000,11240,Petrol,Individual,Manual,First Owner
490000,66000,Diesel,Dealer,Manual,First Owner
880000,64000,Diesel,Dealer,Manual,First Owner
290000,49000,Petrol,Individual,Manual,First Owner
115999,100000,Diesel,Individual,Manual,Second Owner
360000,26500,Petrol,Individual,Manual,First Owner
65000,100000,Petrol,Individual,Manual,Second Owner
685000,72000,Diesel,Dealer,Manual,First Owner
300000,50000,Petrol,Individual,Manual,First Owner
680000,44000,Diesel,Dealer,Manual,First Owner
1000000,60000,Diesel,Individual,Manual,Second Owner
100000,120000,Diesel,Individual,Manual,First Owner
160000,130000,Diesel,Individual,Manual,First Owner
450000,70000,Diesel,Individual,Manual,First Owner
600000,20000,Petrol,Individual,Manual,First Owner
180000,60000,Diesel,Individual,Manual,Second Owner
100000,195000,Petrol,Individual,Manual,First Owner
120000,90000,Petrol,Individual,Manual,Second Owner
130000,80000,Petrol,Individual,Manual,Third Owner
160000,155000,Petrol,Individual,Manual,First Owner
860000,35000,Diesel,Individual,Manual,First Owner
650000,20000,Petrol,Individual,Manual,Second Owner
100000,80000,Petrol,Individual,Manual,Second Owner
282000,20000,Petrol,Individual,Manual,First Owner
300000,50000,Petrol,Individual,Manual,First Owner
270000,110000,Petrol,Individual,Manual,Second Owner
550000,29000,Diesel,Individual,Manual,First Owner
450000,120000,Diesel,Individual,Manual,First Owner
430000,70000,Diesel,Individual,Manual,Second Owner
350000,40000,Petrol,Individual,Manual,First Owner
350000,20000,Petrol,Individual,Manual,First Owner
229999,50000,Petrol,Individual,Manual,Second Owner
110000,50000,Petrol,Individual,Manual,First Owner
395000,49000,Petrol,Individual,Manual,Second Owner
650000,70000,Diesel,Individual,Automatic,Second Owner
350000,90000,Diesel,Individual,Manual,Second Owner
1400000,25000,Diesel,Dealer,Manual,First Owner
360000,4000,Petrol,Individual,Manual,First Owner
1300000,10000,Diesel,Individual,Manual,First Owner
800000,15000,Diesel,Individual,Manual,First Owner
229999,30000,Petrol,Individual,Manual,First Owner
315000,41000,Petrol,Dealer,Manual,First Owner
125000,28000,Petrol,Individual,Manual,First Owner
700000,16000,Petrol,Individual,Manual,First Owner
160000,70000,Petrol,Individual,Manual,First Owner
530000,10832,Petrol,Dealer,Manual,First Owner
624000,14681,Diesel,Dealer,Manual,First Owner
250000,50000,Petrol,Individual,Manual,First Owner
585000,51000,Diesel,Dealer,Manual,First Owner
500000,25000,Petrol,Individual,Manual,First Owner
350000,30000,Petrol,Individual,Manual,First Owner
495000,80000,Diesel,Dealer,Manual,First Owner
500000,50000,Petrol,Individual,Manual,First Owner
430000,200000,Diesel,Individual,Manual,First Owner
345000,44000,Petrol,Dealer,Manual,First Owner
500000,10000,Petrol,Individual,Manual,First Owner
425000,19600,Petrol,Individual,Manual,First Owner
80000,40000,Petrol,Individual,Manual,Second Owner
106000,50000,Diesel,Individual,Manual,First Owner
180000,46730,Petrol,Individual,Manual,First Owner
250000,40000,Petrol,Individual,Manual,Second Owner
350000,80000,Diesel,Individual,Manual,First Owner
60000,80000,Petrol,Individual,Manual,Second Owner
900000,24000,Diesel,Individual,Manual,First Owner
700000,21170,Diesel,Dealer,Manual,First Owner
2000000,167223,Diesel,Dealer,Automatic,First Owner
1000000,40000,Diesel,Individual,Manual,First Owner
1375000,60000,Diesel,Individual,Automatic,First Owner
1800000,141440,Diesel,Dealer,Manual,First Owner
160000,120000,Diesel,Individual,Manual,Third Owner
525000,140000,Petrol,Individual,Automatic,First Owner
850000,212814,Diesel,Dealer,Manual,First Owner
800000,30000,Diesel,Individual,Manual,First Owner
700000,88635,Diesel,Dealer,Manual,First Owner
800000,25000,Diesel,Individual,Manual,First Owner
575000,20000,Petrol,Individual,Manual,Second Owner
350000,110000,Diesel,Individual,Manual,Second Owner
250000,120000,Diesel,Individual,Manual,Third Owner
600000,149674,Diesel,Dealer,Manual,Second Owner
370000,100000,Diesel,Individual,Manual,Third Owner
80000,120000,Petrol,Individual,Manual,Third Owner
50000,120000,Diesel,Individual,Manual,Second Owner
900000,25000,Diesel,Individual,Manual,First Owner
300000,35000,Petrol,Individual,Manual,Second Owner
125000,40000,Petrol,Individual,Manual,First Owner
490000,60000,Diesel,Individual,Manual,Second Owner
300000,50000,Diesel,Individual,Manual,Second Owner
55000,25000,Petrol,Individual,Manual,Fourth & Above Owner
350000,25000,Petrol,Individual,Manual,First Owner
755000,8000,Diesel,Individual,Manual,First Owner
720000,60000,Diesel,Individual,Manual,First Owner
229999,200000,Diesel,Individual,Manual,Third Owner
1100000,20000,Diesel,Individual,Manual,First Owner
400000,100000,Petrol,Individual,Manual,First Owner
350000,70000,Diesel,Individual,Manual,Second Owner
159000,68000,Diesel,Dealer,Manual,First Owner
550000,38000,Petrol,Dealer,Manual,First Owner
335000,80000,Diesel,Dealer,Manual,First Owner
185000,72000,CNG,Dealer,Manual,First Owner
229999,75000,CNG,Dealer,Manual,First Owner
225000,43000,Petrol,Dealer,Manual,First Owner
250000,120000,Petrol,Individual,Manual,Second Owner
400000,100000,Diesel,Individual,Manual,First Owner
470000,163000,Diesel,Individual,Manual,First Owner
300000,25000,Petrol,Individual,Automatic,First Owner
145000,25000,Petrol,Individual,Manual,First Owner
100000,90000,Petrol,Individual,Manual,Second Owner
500000,70000,Diesel,Individual,Manual,Second Owner
130000,98000,CNG,Individual,Manual,Second Owner
240000,81925,Diesel,Individual,Manual,First Owner
150000,80000,Diesel,Individual,Manual,Second Owner
270000,40000,Petrol,Individual,Manual,First Owner
400000,90000,Diesel,Individual,Manual,First Owner
200000,46000,Petrol,Individual,Manual,First Owner
550000,80000,Diesel,Individual,Manual,First Owner
325000,35000,Petrol,Individual,Manual,First Owner
860000,82080,Diesel,Individual,Automatic,First Owner
600000,200000,Diesel,Individual,Manual,First Owner
125000,70000,Petrol,Individual,Manual,First Owner
60000,40000,Petrol,Individual,Manual,Third Owner
300000,120000,Diesel,Individual,Manual,Third Owner
190000,60000,Petrol,Individual,Manual,Third Owner
400000,110000,Diesel,Individual,Manual,First Owner
260000,97000,Diesel,Individual,Manual,Second Owner
400000,30000,Petrol,Individual,Manual,First Owner
250000,40000,Petrol,Individual,Manual,First Owner
600000,10000,Petrol,Individual,Manual,First Owner
175000,52047,Petrol,Individual,Manual,First Owner
450000,200000,Diesel,Individual,Manual,Third Owner
350000,15000,Petrol,Individual,Automatic,Second Owner
800000,50000,Diesel,Individual,Manual,First Owner
250000,70000,Petrol,Individual,Manual,Second Owner
600000,10000,Petrol,Individual,Manual,First Owner
600000,90000,Diesel,Individual,Manual,First Owner
130000,40000,Petrol,Individual,Manual,First Owner
90000,62009,Petrol,Individual,Manual,Second Owner
595000,33100,Petrol,Individual,Manual,Second Owner
190000,40000,Petrol,Individual,Manual,Second Owner
50000,120000,Petrol,Individual,Manual,Second Owner
95000,80000,Petrol,Individual,Manual,First Owner
1000000,70000,Diesel,Individual,Manual,First Owner
220000,220000,Petrol,Individual,Manual,Second Owner
400000,50000,Diesel,Individual,Manual,First Owner
315000,45000,Petrol,Individual,Manual,Second Owner
1000000,110000,Diesel,Individual,Manual,First Owner
500000,49000,Diesel,Individual,Manual,First Owner
1600000,35000,Diesel,Individual,Automatic,First Owner
500000,160000,Diesel,Individual,Manual,First Owner
70000,180000,Petrol,Individual,Manual,Third Owner
105000,60000,Petrol,Individual,Manual,Second Owner
400000,110000,Diesel,Individual,Manual,Third Owner
80000,60000,Petrol,Individual,Manual,Third Owner
300000,30000,Petrol,Individual,Manual,First Owner
409999,40000,Diesel,Individual,Manual,First Owner
250000,70000,Petrol,Individual,Manual,First Owner
250000,120000,Diesel,Individual,Manual,Second Owner
215000,80000,Diesel,Individual,Manual,Third Owner
1400000,120000,Diesel,Individual,Manual,First Owner
475000,20000,Petrol,Individual,Manual,First Owner
475000,22000,Petrol,Individual,Manual,First Owner
75000,35000,Petrol,Individual,Manual,Second Owner
200000,120000,Diesel,Individual,Manual,Second Owner
575000,8000,Petrol,Individual,Manual,First Owner
150000,40000,Diesel,Individual,Manual,Second Owner
850000,10000,Diesel,Individual,Manual,First Owner
350000,30000,Petrol,Individual,Manual,First Owner
550000,54000,Diesel,Individual,Manual,Second Owner
330000,80577,Petrol,Individual,Manual,First Owner
1044999,25000,Diesel,Individual,Manual,First Owner
300000,127500,Diesel,Individual,Manual,Second Owner
235000,40903,Petrol,Dealer,Manual,First Owner
120000,60000,Petrol,Individual,Manual,Third Owner
130000,46000,Petrol,Individual,Manual,First Owner
275000,22288,Diesel,Dealer,Manual,Second Owner
270000,180000,Diesel,Individual,Manual,Second Owner
500000,30000,Diesel,Individual,Manual,Second Owner
400000,61690,Petrol,Dealer,Manual,First Owner
600000,64484,Petrol,Dealer,Manual,First Owner
1350000,90000,Diesel,Individual,Automatic,Second Owner
400000,75976,Diesel,Dealer,Manual,Second Owner
220000,70000,Diesel,Individual,Manual,Second Owner
300000,85962,Petrol,Dealer,Manual,Second Owner
250000,120000,Petrol,Individual,Manual,First Owner
600000,120000,Diesel,Individual,Manual,First Owner
285000,75000,Petrol,Individual,Automatic,Second Owner
350000,57035,Petrol,Dealer,Manual,First Owner
170000,70000,Diesel,Individual,Manual,Third Owner
229999,45000,Petrol,Individual,Manual,First Owner
500000,72104,Diesel,Dealer,Manual,Second Owner
75000,15000,Petrol,Individual,Manual,First Owner
600000,30000,Petrol,Individual,Manual,First Owner
220000,80000,Diesel,Individual,Manual,First Owner
150000,164000,Diesel,Individual,Manual,Second Owner
65000,124439,Petrol,Individual,Manual,Second Owner
120000,77000,Petrol,Individual,Manual,Second Owner
240000,90000,Diesel,Individual,Manual,First Owner
390000,30000,Petrol,Individual,Manual,First Owner
180000,50000,Petrol,Individual,Manual,First Owner
320000,80000,Diesel,Individual,Manual,Second Owner
310000,5000,Petrol,Individual,Manual,First Owner
420000,24000,Petrol,Individual,Automatic,First Owner
550000,10000,Petrol,Individual,Manual,First Owner
550000,78000,Diesel,Individual,Manual,Third Owner
760000,50000,Diesel,Individual,Manual,First Owner
43000,100000,Petrol,Individual,Manual,Second Owner
250000,20000,Petrol,Individual,Manual,First Owner
500000,1250,Petrol,Individual,Manual,First Owner
380000,17152,Petrol,Individual,Manual,First Owner
1850000,5000,Diesel,Individual,Automatic,First Owner
350000,77000,Diesel,Individual,Manual,First Owner
195000,90000,Diesel,Individual,Manual,Second Owner
225000,80000,Petrol,Individual,Manual,Second Owner
1125000,65000,Diesel,Individual,Manual,First Owner
133000,80000,Diesel,Individual,Manual,First Owner
200000,24005,Petrol,Individual,Manual,First Owner
940000,20000,Diesel,Individual,Manual,First Owner
400000,120000,Diesel,Individual,Manual,First Owner
120000,120000,Petrol,Individual,Manual,Second Owner
625000,80000,Diesel,Individual,Manual,First Owner
110000,80000,Petrol,Individual,Manual,First Owner
490000,100000,Diesel,Individual,Manual,First Owner
140000,120000,Petrol,Individual,Manual,Second Owner
175000,149000,Diesel,Individual,Manual,Second Owner
90000,65000,Petrol,Individual,Manual,Second Owner
275000,100000,Diesel,Individual,Manual,Second Owner
300000,65000,Diesel,Individual,Manual,Second Owner
270000,19000,Petrol,Individual,Manual,Second Owner
130000,80000,Petrol,Individual,Manual,Second Owner
275000,30000,Petrol,Individual,Manual,First Owner
352000,109000,Diesel,Individual,Manual,First Owner
180000,90000,LPG,Individual,Manual,First Owner
150000,90000,Petrol,Individual,Manual,First Owner
300000,65000,Diesel,Individual,Manual,Second Owner
300000,110000,Diesel,Individual,Manual,Second Owner
225000,120000,Diesel,Individual,Manual,First Owner
600000,44000,Diesel,Individual,Manual,First Owner
500000,80000,Petrol,Individual,Manual,First Owner
900000,5000,Petrol,Individual,Manual,First Owner
600000,61000,Petrol,Individual,Manual,First Owner
450000,100000,Diesel,Individual,Manual,Second Owner
270000,27633,Petrol,Individual,Manual,First Owner
310000,100000,Diesel,Individual,Manual,Third Owner
250000,100000,LPG,Individual,Manual,First Owner
700000,12586,Petrol,Dealer,Manual,First Owner
650000,38083,Diesel,Dealer,Manual,First Owner
400000,55328,Diesel,Dealer,Manual,First Owner
425000,81632,Diesel,Dealer,Manual,First Owner
600000,155201,Diesel,Dealer,Manual,First Owner
600000,93283,Diesel,Dealer,Manual,First Owner
300000,217871,Diesel,Dealer,Manual,First Owner
450000,90165,Diesel,Dealer,Manual,First Owner
750000,101504,Diesel,Dealer,Manual,First Owner
325000,86017,Diesel,Dealer,Manual,Second Owner
900000,85036,Diesel,Dealer,Manual,Second Owner
180000,91086,Petrol,Dealer,Manual,Second Owner
350000,160254,Diesel,Dealer,Manual,Second Owner
600000,125531,Diesel,Dealer,Manual,Second Owner
900000,60000,Diesel,Individual,Manual,First Owner
350000,100000,Diesel,Individual,Manual,First Owner
280000,90000,Diesel,Individual,Manual,Third Owner
225000,120000,Diesel,Individual,Manual,Second Owner
520000,82000,Diesel,Individual,Manual,First Owner
509999,60000,Diesel,Individual,Manual,First Owner
556000,24000,Petrol,Individual,Manual,First Owner
225000,120000,Diesel,Individual,Manual,First Owner
325000,65000,Diesel,Dealer,Manual,First Owner
365000,65000,Diesel,Dealer,Manual,First Owner
850000,84000,Diesel,Dealer,Manual,First Owner
350000,75000,Diesel,Dealer,Manual,First Owner
225000,50000,Diesel,Dealer,Manual,First Owner
135000,50000,Petrol,Individual,Manual,First Owner
140000,49000,Petrol,Dealer,Manual,First Owner
665000,560000,Diesel,Dealer,Manual,First Owner
275000,14365,Petrol,Dealer,Manual,First Owner
2750000,41000,Diesel,Individual,Automatic,First Owner
484999,65000,Diesel,Dealer,Manual,First Owner
565000,65000,Diesel,Dealer,Manual,First Owner
425000,61083,Diesel,Dealer,Manual,First Owner
925000,75000,Diesel,Individual,Manual,First Owner
565000,72000,Diesel,Dealer,Manual,First Owner
525000,65000,Diesel,Dealer,Manual,First Owner
1650000,55000,Diesel,Dealer,Manual,First Owner
295000,21000,Petrol,Dealer,Manual,Second Owner
2050000,66363,Petrol,Dealer,Automatic,Second Owner
1475000,11700,Petrol,Dealer,Automatic,First Owner
1100000,10000,Petrol,Individual,Automatic,First Owner
4400000,100000,Diesel,Individual,Automatic,Second Owner
670000,7104,Petrol,Trustmark Dealer,Manual,First Owner
750000,45974,Diesel,Trustmark Dealer,Manual,First Owner
760000,55340,Petrol,Trustmark Dealer,Manual,First Owner
850000,20000,Petrol,Dealer,Automatic,Second Owner
390000,61585,Diesel,Trustmark Dealer,Manual,First Owner
450000,39415,Petrol,Trustmark Dealer,Automatic,Second Owner
425000,29654,Petrol,Trustmark Dealer,Manual,First Owner
770000,64672,Diesel,Trustmark Dealer,Manual,First Owner
1150000,54634,Diesel,Trustmark Dealer,Automatic,Second Owner
775000,66521,Petrol,Trustmark Dealer,Manual,First Owner
1725000,23974,Diesel,Dealer,Automatic,Second Owner
2150000,43000,Diesel,Dealer,Automatic,First Owner
450000,1000,Diesel,Dealer,Manual,Second Owner
3800000,10000,Diesel,Dealer,Automatic,First Owner
1580000,86000,Diesel,Dealer,Automatic,First Owner
4950000,30000,Diesel,Dealer,Automatic,First Owner
535000,52600,Diesel,Individual,Manual,First Owner
225000,110000,Petrol,Individual,Manual,Second Owner
550000,19890,Petrol,Dealer,Automatic,First Owner
